state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
SA,5141,RESIDENTIAL,160,834.44,149,777.34,11,57.1,129.5,0,0
SA,5341,BUSINESS,162,4506.54,161,4501.54,1,5,14,0,0
SA,5550,RESIDENTIAL,162,780.6,162,780.6,0,0,0,0,0
SA,5357,RESIDENTIAL,165,731.8,163,724.3,2,7.5,24,0,0
SA,5271,BUSINESS,166,2542.14,165,2537.14,1,5,14,0,0
SA,5473,RESIDENTIAL,170,698.51,168,684.31,2,14.2,34.4,0,0
SA,5243,RESIDENTIAL,171,1041.84,166,1006.54,7,35.4,86.3,0,0
SA,5251,BUSINESS,174,3608.93,173,3584.73,4,24.2,50.4,0,0
SA,5451,RESIDENTIAL,176,734.26,170,700.16,7,34.1,93.5,0,0
SA,5413,RESIDENTIAL,177,742.5,173,712.9,5,29.6,64.9,0,0
SA,5606,BUSINESS,182,3560.5,182,3560.5,0,0,0,0,0
SA,5290,BUSINESS,184,3501.87,183,3498.57,1,3.3,10,0,0
SA,5495,RESIDENTIAL,185,921.98,181,892.08,6,29.9,64,0,0
SA,5211,BUSINESS,187,2608.92,186,2603.92,1,5,14,0,0
SA,5067,BUSINESS,190,2976.91,188,2962.01,3,15,33.6,0,0
SA,5202,RESIDENTIAL,193,924.3,188,885.2,8,39.1,79,0,0
SA,5540,BUSINESS,195,3077.45,193,3069.15,2,8.3,21.5,0,0
SA,5039,BUSINESS,196,3422.57,195,3413.37,1,9.2,11.5,0,0
SA,5641,RESIDENTIAL,196,972.18,192,944.68,5,27.5,52.4,0,0
SA,5480,RESIDENTIAL,197,841.2,195,806.2,4,35,47.4,0,0
SA,5031,BUSINESS,199,4135.96,198,4128.46,1,7.5,7.2,0,0
