state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
TAS,7322,BUSINESS,15,310.8,15,310.8,0,0,0,0,0
TAS,7331,BUSINESS,15,220.4,14,215.4,1,5,14,0,0
VIC,3094,BUSINESS,15,277.11,14,232.91,1,44.2,39.7,0,0
VIC,3231,BUSINESS,15,204.26,15,199.26,1,5,14,0,0
VIC,3278,BUSINESS,15,211,15,161,5,50,96,0,0
VIC,3287,BUSINESS,15,139.1,15,139.1,0,0,0,0,0
VIC,3330,RESIDENTIAL,15,56,15,56,0,0,0,0,0
VIC,3336,(blank),15,118,15,108,1,10,9.6,0,0
VIC,3385,BUSINESS,15,5145.1,15,5145.1,0,0,0,0,0
VIC,3448,BUSINESS,15,99.9,15,99.9,0,0,0,0,0
VIC,3464,BUSINESS,15,784.2,15,784.2,0,0,0,0,0
VIC,3559,BUSINESS,15,360.7,15,360.7,0,0,0,0,0
VIC,3633,BUSINESS,15,165.1,15,165.1,0,0,0,0,0
VIC,3822,BUSINESS,15,185,15,185,0,0,0,0,0
VIC,3842,BUSINESS,15,284.66,15,284.66,0,0,0,0,0
VIC,3865,BUSINESS,15,357.09,15,357.09,0,0,0,0,0
VIC,3929,BUSINESS,15,252,15,232,1,20,38.6,0,0
VIC,3987,BUSINESS,15,201.18,15,201.18,0,0,0,0,0
NSW,2041,BUSINESS,16,219.8,16,219.8,0,0,0,0,0
NSW,2302,BUSINESS,16,476.9,16,476.9,0,0,0,0,0
NSW,2449,BUSINESS,16,125.9,16,125.9,0,0,0,0,0
NSW,2455,BUSINESS,16,191.2,16,191.2,0,0,0,0,0
NSW,2777,BUSINESS,16,214,16,214,0,0,0,0,0
QLD,4076,(blank),16,663.1,16,663.1,0,0,0,0,0
QLD,4112,BUSINESS,16,208.4,16,198.4,1,10,19.3,0,0
QLD,4155,BUSINESS,16,380.3,16,380.3,0,0,0,0,0
QLD,4377,BUSINESS,16,176,16,176,0,0,0,0,0
QLD,4555,(blank),16,137.5,16,137.5,0,0,0,0,0
QLD,4561,(blank),16,291.2,16,286.6,1,4.6,11,0,0
QLD,4571,BUSINESS,16,183.4,16,183.4,0,0,0,0,0
QLD,4600,BUSINESS,16,230,16,200.2,2,29.8,31.8,0,0
