,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,2615,36.9984,1,37.0
,2617,37.0115,1,37.0
,2618,216.6295,1,74.7
,2618,216.6295,2,141.9
,2619,11.3316,1,10.8
,2619,11.3316,2,0.5
,2620,2869.8201,1,96.1
,2620,2869.8201,2,932.8
,2620,2869.8201,5,1840.8
,2621,853.2512,2,59.6
,2621,853.2512,5,793.7
,2622,4256.1145,5,4256.1
,2623,166.9084,5,166.9
,2624,348.5647,5,348.6
,2625,1.0856,5,1.1
,2626,383.5704,5,383.6
,2627,1994.6112,5,1994.6
,2628,2337.0094,5,2337.0
,2629,2054.5144,5,2054.5
,2630,4206.3548,4,127.3
,2630,4206.3548,5,4079.1
,2631,1199.4934,5,1199.5
,2632,1824.9879,5,1825.0
,2633,766.4927,5,766.5
,2640,1029.4042,2,467.5
,2640,1029.4042,5,561.9
,2641,33.5384,2,33.5
,2642,4076.8,2,138.4
,2642,4076.8,5,3938.4
,2643,156.4024,5,156.4
,2644,2157.7365,5,2157.7
,2645,1181.6879,5,1181.7
,2646,2895.4549,4,77.1
,2646,2895.4549,5,2818.3
,2647,357.3501,4,18.6
,2647,357.3501,5,338.7
,2648,23909.7281,5,117.5
,2648,23909.7281,6,23792.2
,2649,247.113,5,247.1
,2650,4061.238,3,272.4
,2650,4061.238,5,3788.8
,2651,34.62,3,34.6
,2652,6116.1137,3,144.7
,2652,6116.1137,5,4886.3
,2652,6116.1137,6,1085.1
,2653,1228.8205,5,1228.8
,2655,427.2763,3,45.4
,2655,427.2763,5,381.9
,2656,1497.1368,5,1497.1
,2658,748.0545,5,748.1
,2659,367.5445,5,367.5
,2660,451.2793,5,451.3
,2661,14.7623,3,14.8
,2663,492.6429,5,492.6
,2665,4109.6274,5,4109.6
,2666,2462.5855,5,2462.6
,2668,708.1132,5,708.1
,2669,6295.346,5,3724.4
,2669,6295.346,6,2571.0
,2671,3297.7351,5,3297.7
,2672,1794.2389,6,1794.2
,2675,8518.5583,6,8518.6
,2678,3.5099,3,3.5
,2680,1894.4513,3,380.2
,2680,1894.4513,5,1514.2
,2681,471.7587,3,151.4
,2681,471.7587,5,320.4
,2700,3016.2983,5,3016.3
,2701,852.1158,5,852.1
,2702,439.8686,5,439.9
,2703,56.8879,4,56.9
,2705,1129.1529,4,274.6
,2705,1129.1529,5,854.5
,2706,725.4016,5,725.4
,2707,2112.3439,5,2112.3
,2710,10466.1631,4,143.2
,2710,10466.1631,5,9816.7
,2710,10466.1631,6,506.2
,2711,24180.255,5,2977.8
,2711,24180.255,6,21202.5
,2712,966.5102,5,966.5
,2713,970.31,5,970.3
,2714,708.9706,5,709.0
,2715,13749.9032,5,84.7
,2715,13749.9032,6,13665.2
,2716,2861.8271,5,2861.8
,2717,120.7928,3,108.3
,2717,120.7928,5,12.5
,2720,2485.6548,4,165.0
,2720,2485.6548,5,2320.6
,2721,539.5029,5,539.5
,2722,1576.1373,5,1576.1
,2725,262.3734,5,262.4
,2726,160.6689,5,160.7
,2727,772.9227,5,772.9
,2729,933.1202,5,933.1
,2730,420.4856,5,420.5
,2731,1428.1661,3,167.0
,2731,1428.1661,5,1261.2
,2732,1849.8263,5,1849.8
,2733,2279.3516,5,2279.4
,2734,1755.2448,4,1.7
,2734,1755.2448,5,1433.2
,2734,1755.2448,6,320.4
,2735,271.5656,5,271.6
,2736,213.1077,5,213.1
,2737,3345.8754,5,3103.5
,2737,3345.8754,6,242.4
,2738,2066.851,3,34.0
,2738,2066.851,6,2032.9
,2739,50.1706,3,50.2
,2745,168.7608,1,41.5
,2745,168.7608,2,127.2
,2747,55.0667,1,55.1
,2748,43.0734,1,43.1
,2749,47.0936,1,47.1
,2750,35.3705,1,35.4
,2752,53.5688,2,53.6
,2753,169.4419,1,102.5
,2753,169.4419,2,49.8
,2753,169.4419,5,17.1
,2754,34.3251,1,22.1
,2754,34.3251,2,12.2
,2756,1486.8709,1,89.2
,2756,1486.8709,2,111.2
,2756,1486.8709,5,1286.5
,2757,8.3269,2,8.3
,2758,572.1443,2,155.3
,2758,572.1443,5,416.8
,2759,15.5979,1,15.6
,2760,19.9308,1,19.9
,2761,14.7648,1,14.8
,2762,12.5171,1,12.5
,2763,13.0157,1,13.0
,2765,127.5271,1,107.1
,2765,127.5271,2,20.5
,2766,27.2383,1,27.2
,2767,10.1088,1,10.1
,2768,9.0194,1,9.0
,2769,4.6534,1,4.7
,2770,24.7303,1,24.7
,2773,8.3936,1,8.4
,2774,21.2999,1,21.3
,2775,833.1402,2,1.2
,2775,833.1402,5,832.0
,2776,14.932,1,14.9
,2777,54.7327,1,54.7
,2778,20.9602,1,21.0
,2779,12.4995,1,12.5
,2780,38.4603,1,27.9
,2780,38.4603,3,10.2
,2780,38.4603,5,0.4
,2782,21.0358,1,21.0
,2783,7.2887,1,7.3
,2784,6.1389,1,6.1
,2785,128.6447,3,111.8
,2785,128.6447,5,16.9
,2786,84.7603,3,2.1
,2786,84.7603,5,82.6
,2787,4632.7818,1,0.5
,2787,4632.7818,3,2.3
,2787,4632.7818,5,4629.9
,2790,2481.3231,4,299.7
,2790,2481.3231,5,2181.6
,2791,184.9651,5,185.0
,2792,369.6931,5,369.7
,2793,648.0055,5,648.0
,2794,1408.2658,4,391.7
,2794,1408.2658,5,1016.6
,2795,5307.5248,3,768.4
,2795,5307.5248,5,4539.1
,2797,147.8245,5,147.8
,2798,268.7089,3,40.4
,2798,268.7089,5,228.3
,2799,630.7998,3,84.1
,2799,630.7998,5,546.7
,2800,1993.9511,3,592.3
,2800,1993.9511,5,1401.7
,2803,342.0982,5,342.1
,2804,878.0498,5,878.0
,2805,289.854,5,289.9
,2806,519.6961,5,519.7
,2807,299.7008,5,299.7
,2808,242.5414,5,242.5
,2809,163.0067,5,163.0
,2810,2658.971,5,2659.0
,2817,961.4848,5,961.5
,2818,471.7655,5,471.8
,2820,2438.751,5,2438.8
,2821,2339.8603,5,2339.9
,2822,501.7243,5,501.7
,2823,2782.3577,5,2782.4
,2824,4843.6,5,3.0
,2824,4843.6,6,4840.6
,2825,7188.4073,6,7188.4
,2826,1153.7892,6,1153.8
,2827,2964.6885,5,2964.7
,2828,2375.64,5,658.8
,2828,2375.64,6,1716.8
,2829,6318.8294,6,6318.8
,2830,3017.4938,3,612.4
,2830,3017.4938,5,2405.1
,2831,22389.3649,3,4.9
,2831,22389.3649,5,734.7
,2831,22389.3649,6,18069.0
,2831,22389.3649,7,3580.8
,2832,9695.0643,6,7891.7
,2832,9695.0643,7,1803.4
,2833,5044.6803,6,5044.7
,2834,2828.007,6,2617.4
,2834,2828.007,7,210.6
,2835,29975.1826,6,2258.7
,2835,29975.1826,7,27716.5
,2836,31517.8004,7,31517.8
,2838,3487.8165,7,3487.8
